CUSTOMER_ID,GENDER,AGE,COUNTRY,TENURE_MONTHS,CONTRACT_TYPE,HAS_INTERNET,HAS_MOBILE,HAS_TV,MONTHLY_CHARGES,TOTAL_CHARGES,NUM_COMPLAINTS,SUPPORT_CALLS,PAYMENT_METHOD,CHURN,NUM_SERVICES,AVG_CHARGE_PER_MONTH,IS_LONG_TENURE
C000001,Male,68,FR,61,Month-to-month,0,1,0,17.54,1077.63,0,0,Bank transfer,1,1,17.66606557,1
C000002,Female,65,FR,37,Month-to-month,1,1,0,50.82,833.94,1,1,Credit card,0,2,22.53891892,1
C000003,Male,36,FR,53,Two year,1,1,0,34.44,1828.5,0,0,Credit card,0,2,34.5,1
C000004,Male,23,UK,6,Month-to-month,1,1,1,50.66,271.56,1,1,Credit card,0,3,45.26,0
C000005,Male,44,GR,39,Month-to-month,1,1,1,38.82,1519.19,0,0,Credit card,0,3,38.95358974,1
C000006,Female,70,GR,25,Month-to-month,1,1,1,59.33,1443.72,0,3,Credit card,0,3,57.7488,1
C000007,Male,65,GR,42,Month-to-month,0,1,1,47.8,1995.71,0,3,Cash,1,2,47.51690476,1
C000008,Male,51,FR,42,Two year,1,1,0,29.61,1243.85,0,1,Cash,0,2,29.61547619,1
C000009,Male,76,GR,59,Month-to-month,0,1,0,23.47,1377.23,0,0,E-banking,1,1,23.34288136,1
C000010,Female,28,UK,38,One year,1,1,0,49.24,1896.52,0,0,Bank transfer,1,2,49.90842105,1
C000011,Male,32,DE,31,Two year,1,1,1,41.18,1208.68,0,1,Cash,0,3,38.98967742,1
C000012,Male,81,UK,29,Month-to-month,1,1,1,35.95,1334.41,1,3,Credit card,1,3,46.01413793,1
C000013,Male,20,IT,9,Two year,1,1,0,33.85,279.79,0,3,Bank transfer,0,2,31.08777778,0
C000014,Male,40,GR,1,Month-to-month,1,1,1,39.49,57.21,3,6,E-banking,0,3,57.21,0
C000015,Female,70,ES,72,Two year,1,1,1,52.64,3790.93,0,2,Credit card,0,3,52.65180556,1
C000016,Male,54,GR,47,Month-to-month,1,1,0,46.36,2211.59,0,0,Bank transfer,1,2,47.05510638,1
C000017,Female,26,GR,10,One year,1,1,0,36.25,355.53,0,1,Credit card,0,2,35.553,0
C000019,Female,20,GR,47,Month-to-month,1,0,0,30.95,1459.26,0,0,E-banking,0,1,31.04808511,1
C000020,Male,34,FR,43,Month-to-month,0,1,0,28.42,1183.18,1,2,Credit card,1,1,27.51581395,1
C000021,Female,43,UK,24,Month-to-month,0,1,0,24.25,557.55,0,3,Cash,1,1,23.23125,1
C000022,Male,38,GR,8,Month-to-month,1,1,0,54.94,421.89,0,1,E-banking,0,2,52.73625,0
C000023,Female,38,GR,26,One year,0,0,1,27.64,722.17,0,0,Bank transfer,0,1,27.77576923,1
C000024,Female,28,UK,7,Two year,1,0,0,22,181,1,1,Credit card,0,1,25.85714286,0
C000025,Female,55,FR,15,One year,1,1,1,59.32,908.09,0,1,Cash,0,3,60.53933333,0
C000026,Female,52,DE,48,Month-to-month,1,1,1,43.47,2106.52,0,1,Credit card,0,3,43.88583333,1
C000027,Female,31,UK,3,Month-to-month,1,1,1,65.09,172.87,2,2,Cash,0,3,57.62333333,0
C000028,Female,31,FR,16,Month-to-month,1,1,1,45.89,760.63,1,3,Credit card,1,3,47.539375,0
C000029,Female,27,UK,14,Month-to-month,1,1,0,46.61,655.67,0,0,Bank transfer,0,2,46.83357143,0
C000030,Female,29,GR,3,Two year,1,1,0,25.92,101.6,2,4,Credit card,1,2,33.86666667,0
C000031,Male,55,UK,70,Two year,1,1,0,33.36,2290.76,1,1,Credit card,0,2,32.72514286,1
